,_unit_id,text,Compound,Sentiment,Airplane,Question Tag
0,681448150,@VirginAmerica What @dhepburn said.,0.0,neutral,@virginamerica,
1,681448153,@VirginAmerica plus you've added commercials to the experience... tacky.,0.0,neutral,@virginamerica,
2,681448156,@VirginAmerica I didn't today... Must mean I need to take another trip!,0.0,neutral,@virginamerica,
3,681448158,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",-0.6318,negative,@virginamerica,
4,681448159,@VirginAmerica and it's a really big bad thing about it,-0.5829,negative,@virginamerica,
5,681448162,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",-0.624,negative,@virginamerica,
6,681448165,"@VirginAmerica yes, nearly every time I fly VX this �ear worm�۝ won�۪t go away :)",0.6908,positive,@virginamerica,
7,681448167,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",0.1458,neutral,@virginamerica,
8,681448169,"@virginamerica Well, I didn't�_but NOW I DO! :-D",-0.2249,neutral,@virginamerica,
9,681448171,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",0.7717,positive,@virginamerica,
10,681448174,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,-0.8555,negative,@virginamerica,
11,681448176,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,0.8555,positive,@virginamerica,
12,681448178,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,0.6892,positive,@virginamerica,
13,681448181,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,0.0,neutral,@virginamerica,
14,681448182,@VirginAmerica Thanks!,0.4926,neutral,@virginamerica,
15,681448184,@VirginAmerica SFO-PDX schedule is still MIA.,-0.296,neutral,@virginamerica,
16,681448186,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,-0.2249,neutral,@virginamerica,
17,681448188,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,0.4574,neutral,@virginamerica,
18,681448190,I �_� flying @VirginAmerica. �_�ԍ,0.0,neutral,�_�,
19,681448192,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,0.7821,positive,@virginamerica,
20,681448194,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,0.0,neutral,@virginamerica,
21,681448197,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,0.6369,positive,@virginamerica,
22,681448199,@VirginAmerica I love the hipster innovation. You are a feel good brand.,0.8658,positive,@virginamerica,
23,681448201,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,-0.296,neutral,@virginamerica,
24,681448204,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _� I want free internet,0.6486,positive,@virginamerica,
25,681448206,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,0.0,neutral,@virginamerica,
26,681448208,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,0.0,neutral,@virginamerica,
27,681448211,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,-0.5423,negative,@virginamerica,question
